inventory_code;inventory_pool;serial_number;model_name;Kat1;Kat2;Kat3
AVZ16310;AV-Ausleihe;57433;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16851;AV-Ausleihe;A86128481;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16852;AV-Ausleihe;A86128482;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16853;AV-Ausleihe;A86128483;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16854;AV-Ausleihe;A86128484;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16855;AV-Ausleihe;A86128485;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16857;AV-Ausleihe;A86128487;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16858;AV-Ausleihe;A86128488;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16859;AV-Ausleihe;A86128489;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16860;AV-Ausleihe;A86128490;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16882;AV-Ausleihe;A86115248;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16018;AV-Ausleihe;A80067678;Digitalrecorder Zoom H4;Digital/Festspeicher Recorder portabel
AVZ16019;AV-Ausleihe;A80067469;Digitalrecorder Zoom H4;Digital/Festspeicher Recorder portabel
AVZ16850;AV-Ausleihe;A80130600;Digitalrecorder Zoom H4;Digital/Festspeicher Recorder portabel
AVZ25029;AV-Ausleihe;A94021931;Digitalrecorder Zoom H4n;Digital/Festspeicher Recorder portabel
AVZ25030;AV-Ausleihe;A94021866;Digitalrecorder Zoom H4n;Digital/Festspeicher Recorder portabel
AVZ14900;AV-Ausleihe;SysID 4026687272 s/n F0025F28;Dongle Avid MC;AVID Dongles
AVZ14901;AV-Ausleihe;SysID 4026687644 s/n F002609C;Dongle Avid MC;AVID Dongles
AVZ11539;AV-Ausleihe;F4HL00657;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11540;AV-Ausleihe;F4HL00599;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11541;AV-Ausleihe;F4HC00987;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11543;AV-Ausleihe;F4HL00671;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11544;AV-Ausleihe;F4HL00688;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11545;AV-Ausleihe;F4HC01055;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11546;AV-Ausleihe;F4HC00658;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11547;AV-Ausleihe;F4HL00234;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11548;AV-Ausleihe;F4HC01043;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
